日期,股票代號,股票名稱,股數,持股權重
2026-04-07,2330,台積電,5428000,9.49%
2026-04-07,2383,台光電,2807000,7.62%
2026-04-07,2308,台達電,4379000,6.24%
2026-04-07,3017,奇鋐,3026000,5.78%
2026-04-07,2368,金像電,6607000,5.76%
2026-04-07,3665,貿聯-KY,3052848,5.71%
2026-04-07,3653,健策,1595000,5.64%
2026-04-07,2345,智邦,3646000,5.54%
2026-04-07,6223,旺矽,1414000,5.21%
2026-04-07,3037,欣興,8443000,4.48%
2026-04-07,8046,南電,7557000,4.43%
2026-04-07,5274,信驊,318000,3.43%
2026-04-07,2327,國巨*,11083000,2.67%
2026-04-07,3711,日月光投控,6159000,2.04%
2026-04-07,6805,富世達,1130000,1.97%
2026-04-07,2449,京元電子,7512000,1.89%
2026-04-07,6510,精測,604000,1.89%
2026-04-07,6515,穎崴,268000,1.79%
2026-04-07,6274,台燿,2458000,1.58%
2026-04-07,1303,南亞,19743000,1.49%
2026-04-07,3211,順達,4086000,1.37%
2026-04-07,3189,景碩,2657000,0.9%
2026-04-07,6139,亞翔,1559000,0.76%
2026-04-07,2454,聯發科,508000,0.7%
2026-04-07,5347,世界,5845000,0.67%
2026-04-07,3661,世芯-KY,233000,0.59%
2026-04-07,3443,創意,267000,0.59%
2026-04-07,6488,環球晶,1330000,0.52%
2026-04-07,2404,漢唐,595000,0.48%
2026-04-07,6147,頎邦,5601000,0.47%
2026-04-07,8358,金居,1955000,0.45%
2026-04-07,8996,高力,515000,0.44%
2026-04-07,3264,欣銓,2870000,0.42%
2026-04-07,1326,台化,9001000,0.39%
2026-04-07,4979,華星光,1037000,0.39%
2026-04-07,6187,萬潤,388000,0.34%
2026-04-07,6191,精成科,3402000,0.29%
2026-04-07,3376,新日興,1428000,0.28%
2026-04-07,6669,緯穎,76000,0.24%
2026-04-07,8210,勤誠,235000,0.18%
2026-04-07,2481,強茂,1636000,0.16%
2026-04-07,3324,雙鴻,160000,0.14%
2026-04-07,1319,東陽,1504000,0.11%
2026-04-07,2002,中鋼,4929000,0.09%
