日期,股票,現金,期貨,應收付,淨資產,總曝險,申贖應付款(%),股票權重,期貨影響,SP值,ECP值,操作警示,動作訊號,姿態訊號,大盤漲跌,申贖應付款
2026-03-25,96.16,5.81,0.0,-3.69,97257730178.86856,96.16,,96.16,0.0,-3.686970370792295,2.12,🔴 強力買進 (高持股續買),資金流向正常,新制,2.5354590791678184,0.0
2026-03-26,95.4,5.34,0.0,-1.92,97767924601.67714,95.4,,95.4,0.0,-1.915724876671741,3.42,🔴 強力買進 (高持股續買),資金流向正常,新制,-0.3035068816125727,0.0
2026-03-30,93.85,4.67,0.0,-2.42,99888386190.7299,93.85,,93.85,0.0,-2.4155637787488105,2.25,🔴 強力買進 (高持股續買),資金流向正常,新制,-1.7951782086511403,0.0
2026-03-31,90.76,6.76,0.0,-4.1,99822140667.695,90.76,,90.76,0.0,-4.095505055947025,2.66,⚪ 觀望/續抱 (盤整),資金流向正常,新制,-2.445310558776998,0.0
2026-04-01,93.73,9.66,0.0,-4.35,106260896809.98611,93.73,,93.73,0.0,-4.346009074493338,5.3100000000000005,🔴 強力買進 (高持股續買),資金流向正常,新制,4.576586254952632,-0.04
2026-04-02,93.75,7.4,0.0,-2.42,103523712181.33331,93.75,,93.75,0.0,-2.4185259524063496,4.98,🔴 強力買進 (高持股續買),資金流向正常,新制,-1.815804878519309,-0.23
2026-04-07,95.79,4.41,0.0,-1.62,106342538490.44785,95.79,,95.79,0.0,-1.6245053715312383,2.79,🔴 強力買進 (高持股續買),資金流向正常,新制,2.018240579533057,-0.45
2026-04-08,96.41,2.47,0.0,-2.01,113484077346.74826,96.41,,96.41,0.0,-2.0108394087986894,0.4600000000000004,🔴 強力買進 (高持股續買),資金流向正常,新制,4.608992766135952,-0.39
2026-04-09,96.56,1.41,0.0,-0.92,116252865513.67026,96.56,,96.56,0.0,-0.9203055608759956,0.4899999999999999,🔴 強力買進 (高持股續買),資金流向正常,新制,0.2870426893293825,-0.2
2026-04-13,95.28,3.17,0.0,-2.65,123304016792.61124,95.28,,95.28,0.0,-2.64977315823809,0.52,🔴 強力買進 (高持股續買),資金流向正常,新制,0.111412811005076,0.0
2026-04-14,96.51,5.09,0.0,-4.96,129608060470.41756,96.51,,96.51,0.0,-4.964414172734723,0.1299999999999999,🔴 強力買進 (高持股續買),資金流向正常,新制,0.111412811005076,0.0
2026-04-15,96.28,5.67,0.0,-5.22,136347663585.376,96.28,,96.28,0.0,-5.216003909408236,0.4500000000000002,🔴 強力買進 (高持股續買),資金流向正常,新制,0.111412811005076,0.0
